,Unnamed: 0,Review Date,Source,Location,Address,City,State,ZIP,Star Rating,Author,URL,Feedback,Original Feedback Language (if not English),Engagement Response,Processed_Feedback,Negative_Score,Neutral_Score,Positive_Score,Compound_Score,Feedback_Categories
0,0,07/28/21,Google,83083 MUSKEGON,1825 East Sherman Blvd   -,Muskegon,MI,49444,4,DANIEL KENT,https://maps.google.com/maps?cid=13446550186741965175,2 for 26 steak was real good,--,--,,0.0,0.0,0.0,0.0,Neutral
1,1,07/28/21,Google,84032 ILIFF,14091 E. Iliff Avenue   -,Aurora,CO,80014,5,julia moore,https://maps.google.com/maps?cid=16257314941577754228,Always amazing,--,--,,0.0,0.0,0.0,0.0,Neutral
2,2,07/28/21,Google,75097 CLARION,22296 State Highway 68   -,Clarion,PA,16214,5,Mikael Shkambi,https://maps.google.com/maps?cid=7715513690480638950,"Great service, great people, great place",--,--,service people place,0.0,1.0,0.0,0.0,Neutral
28,28,07/28/21,Google,97003 S-ALPENA,1468 M-32 West   -,Alpena,MI,49707,5,Nancy Herrmann,https://maps.google.com/maps?cid=11688063008024107250,Food was excellent.  Server was excellent. Greeter was excellent.  Very enjoyable visit,--,--,food visit,0.0,1.0,0.0,0.0,Neutral
34,34,07/28/21,Google,93009 BIRCH RUN,8800 Main Street   -,Birch Run,MI,48415,3,Carolyn Davis,https://maps.google.com/maps?cid=12120160628512430488,"Not as much variety on the menu here as there are at other Applebee's. The service was good, as was the food.",--,--,variety menu applebee service food,0.0,1.0,0.0,0.0,Neutral
40,40,07/28/21,Google,94093 JENKINTOWN,323 Old York Road   -,Jenkintown,PA,19046,4,Constance Petas,https://maps.google.com/maps?cid=5586304420727547197,Food always good but service was just ok,--,--,food service,0.0,1.0,0.0,0.0,Neutral
45,45,07/28/21,Google,95043 MT. PLEASANT,4929 E. Pickard Road   -,Mt. Pleasant,MI,48858,1,Travis Moran,https://maps.google.com/maps?cid=434185250656417097,"Got a curbside pickup. 3 orders had fries, and two orders were burgers, not a drop of ketchup to share between them, seems like a basic condiment to add with this order, also got spinach dip, tortilla chips weren't salted, no salt packets. Will never go back. 0/5",--,--,order order condiment order chip salt packet,0.0,1.0,0.0,0.0,Neutral
47,47,07/28/21,Google,84005 S-WINSTON PARK,1205 W. Michigan Ave.   -,Marshall,MI,49068,3,Carmen Ripley,https://maps.google.com/maps?cid=11066452315626469813,"Not so great this time . Got take out, food was cold.. Wasn't happy that I couldn't redeem my coupon code from a previous visit survey I took 15 minutes to do.. Manager  was not helpful.. Won't go back any time soon�",--,--,time food visit minute manager time,0.0,1.0,0.0,0.0,Neutral
52,52,07/28/21,Google,83084 BENTON HARBOR,2050 Pipestone Road   -,Benton Harbor,MI,49022,1,Carol Bogdanski,https://maps.google.com/maps?cid=10724501774209947432,Not busy. But took forever.  Brought food.  Needed ketchup for fries waited forever. Seemed to like to socialize with staff instead of taking care business. Will not go back,--,--,staff care business,0.0,0.385,0.615,0.4939,Positive
62,62,07/28/21,Google,84048 WESTLAND,10625 West Colfax   -,Lakewood,CO,80226,5,Sarah Dowell,https://maps.google.com/maps?cid=7123878056159213281,Very good food,--,--,food,0.0,1.0,0.0,0.0,Neutral
65,65,07/28/21,Google,76053 BUTLER,500 Butler Crossing   -,Butler,PA,16001,5,Linda Robbins,https://maps.google.com/maps?cid=15640309997630778363,I had the onion soup and the quesadilla and both were yummy.  We had great service.,--,--,onion service,0.0,1.0,0.0,0.0,Neutral
66,66,07/28/21,Google,98049 ROYERSFORD,70 Buckwalter Road   -,Limerick,PA,19468,5,Ryan Horne,https://maps.google.com/maps?cid=1666054336387619820,Delivery was fast! Food was packaged perfectly especially the ice cream which they packed individually unlike other restaurants. Large portions. Great Experience.,--,--,delivery food ice cream restaurant portion experience,0.0,1.0,0.0,0.0,Neutral
72,72,07/28/21,Google,98075 WEST BRANCH,2992 Cook Road   -,West Branch,MI,48661,4,George Moorman,https://maps.google.com/maps?cid=11652640807624406006,Access is confusing. You have to drive on a side street past the back of an outlet mall. Then across the front of the mall to Applebee's. The restaurant itself is nice. Food was good.,--,--,outlet restaurant food,0.0,1.0,0.0,0.0,Neutral
74,74,07/28/21,Google,80063 TAYLOR,21350 Ecorse Road   -,Taylor,MI,48180,5,John Wick,https://maps.google.com/maps?cid=6041203009968192811,Great place,--,--,place,0.0,1.0,0.0,0.0,Neutral
91,91,07/28/21,Google,80072 MADISON HEIGHTS,1275 West 14 Mile Road   -,Madison Heights,MI,48071,5,Cindy Lohr,https://maps.google.com/maps?cid=9571238272507607555,"Food was great, service even better.  We had a waitress 2nd day on job. Very well trained she did awesome.",--,--,food service day job,0.0,1.0,0.0,0.0,Neutral
98,98,07/28/21,Google,76007 UNIONTOWN,102 Walmart Drive   -,Uniontown,PA,15401,1,Matt Himes,https://maps.google.com/maps?cid=12321037513709524657,Absolutely horrible. The whole family was I'll hours after eating here.,--,--,family hour,0.0,1.0,0.0,0.0,Neutral
130,130,07/28/21,Google,84032 ILIFF,14091 E. Iliff Avenue   -,Aurora,CO,80014,4,Shauna Smith,https://maps.google.com/maps?cid=16257314941577754228,"We went at 9pm on a Friday night so I know this may have something to do with the service. Our server was friendly and was pretty attentive to our table. As the night rolled on,  the service was a little sporadic and took a while to get Togo boxes and cash out. Food was good though. �",--,--,night server table night service togo box food,0.0,1.0,0.0,0.0,Neutral
146,146,07/27/21,Google,83082 ALPINE,3851 Alpine Ave NW   -,Comstock Park,MI,49321,5,Barb Szymanski,https://maps.google.com/maps?cid=3736908864242765116,Always great customer service,--,--,customer service,0.0,1.0,0.0,0.0,Neutral
